id;content_id;content_name;reward_points;worked_on
1;Assistant Colorado Cambridgeshire;Guinea;64728;true
2;Seychelles Account;fresh-thinking programming Metal;22965;false
3;dynamic;Reverse-engineered;36127;false
4;Cotton executive;user-centric Salad deposit;93601;true
5;azure Guatemala system-worthy;out-of-the-box Car feed;84476;false
6;Quality matrices;Corporate Island Unbranded;97700;true
7;Rustic website;Wooden invoice primary;48938;false
8;Car Views Representative;Fresh;75569;false
9;Supervisor sticky;array Vermont Montana;66703;true
10;communities;Handcrafted;81657;false
