id;course_id;course_title;course_description;start_date;end_date;publish_state
1;Dollar Peru Innovative;infomediaries Specialist;Fantastic;2023-05-06;2023-05-05;false
2;protocol;Chief;Facilitator transition;2023-05-06;2023-05-05;false
3;generating deposit systems;exuding Arizona Architect;reboot Harbors;2023-05-06;2023-05-05;false
4;indexing;override EXE Executive;Concrete Table Gorgeous;2023-05-05;2023-05-06;false
5;bandwidth Quality;Games Kids Burundi;Stravenue invoice;2023-05-05;2023-05-05;true
6;Bhutan Optimized payment;FTP;Avon Car;2023-05-05;2023-05-05;false
7;THX;motivating Customer primary;Delaware;2023-05-05;2023-05-05;true
8;green Pula Lek;matrices SMS Metal;ubiquitous;2023-05-06;2023-05-06;false
9;Soft;Virginia Silver Sleek;Plastic Cliff;2023-05-05;2023-05-05;false
10;withdrawal Toys Account;Texas full-range grey;Account;2023-05-05;2023-05-06;true
